Strain	Phage	Hour	rep1	rep2	rep3
YI6	Ben	0.083333333	0.1497	0.1444	0.14502
YI6	Ben	0.166666667	0.1498	0.1441	0.14472
YI6	Ben	0.25	0.1499	0.1441	0.14452
YI6	Ben	0.333333333	0.1504	0.1439	0.14472
YI6	Ben	0.416666667	0.151	0.1442	0.14502
YI6	Ben	0.5	0.1518	0.1441	0.14522
YI6	Ben	0.583333333	0.1529	0.1446	0.14582
YI6	Ben	0.666666667	0.154	0.1447	0.14652
YI6	Ben	0.75	0.155	0.1453	0.14742
YI6	Ben	0.833333333	0.1565	0.1458	0.14802
YI6	Ben	0.916666667	0.1586	0.1464	0.14942
YI6	Ben	1	0.1608	0.1474	0.15092
YI6	Ben	1.083333333	0.1633	0.1481	0.15202
YI6	Ben	1.166666667	0.1665	0.1493	0.15382
YI6	Ben	1.25	0.1695	0.2056	0.15532
YI6	Ben	1.333333333	0.1729	0.2162	0.2328
YI6	Ben	1.416666667	0.1771	0.2178	0.2347
YI6	Ben	1.5	0.181	0.2197	0.2376
YI6	Ben	1.583333333	0.1853	0.2226	0.2397
YI6	Ben	1.666666667	0.1899	0.2247	0.2418
YI6	Ben	1.75	0.195	0.2268	0.2442
YI6	Ben	1.833333333	0.2	0.2292	0.2486
YI6	Ben	1.916666667	0.205	0.2336	0.2518
YI6	Ben	2	0.2108	0.2368	0.2546
YI6	Ben	2.083333333	0.2164	0.2396	0.2599
YI6	Ben	2.166666667	0.2239	0.2449	0.2651
YI6	Ben	2.25	0.2307	0.2501	0.2679
YI6	Ben	2.333333333	0.239	0.2529	0.2742
YI6	Ben	2.416666667	0.25	0.2592	0.2811
YI6	Ben	2.5	0.26	0.2661	0.2859
YI6	Ben	2.583333333	0.2703	0.2709	0.2923
YI6	Ben	2.666666667	0.2846	0.2773	0.3006
YI6	Ben	2.75	0.2978	0.2856	0.3074
YI6	Ben	2.833333333	0.3129	0.2924	0.3128
YI6	Ben	2.916666667	0.3288	0.2978	0.3205
YI6	Ben	3	0.3485	0.3055	0.3292
YI6	Ben	3.083333333	0.3655	0.3142	0.3357
YI6	Ben	3.166666667	0.3828	0.3207	0.3453
YI6	Ben	3.25	0.4	0.3303	0.3536
YI6	Ben	3.333333333	0.4129	0.3386	0.3592
YI6	Ben	3.416666667	0.4246	0.3442	0.3651
YI6	Ben	3.5	0.4319	0.3501	0.3688
YI6	Ben	3.583333333	0.4356	0.3538	0.373
YI6	Ben	3.666666667	0.4337	0.358	0.373
YI6	Ben	3.75	0.43	0.358	0.3695
YI6	Ben	3.833333333	0.4223	0.3545	0.3641
YI6	Ben	3.916666667	0.4115	0.3491	0.3563
YI6	Ben	4	0.3962	0.3413	0.3464
YI6	Ben	4.083333333	0.3753	0.3314	0.3337
YI6	Ben	4.166666667	0.3518	0.3187	0.319
YI6	Ben	4.25	0.3267	0.304	0.3031
YI6	Ben	4.333333333	0.3025	0.2881	0.2871
YI6	Ben	4.416666667	0.2787	0.2721	0.2712
