"well"	"Hours"	"Minutes"	"value"	"Strain"	"volume"	"condition"	"Phages"	"bacteria"
"A1"	62.28	3690	0.1138	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A10"	62.28	3690	0.5806	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"A11"	62.28	3690	0.6443	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"A12"	62.28	3690	0.6808	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"A2"	62.28	3690	0.1088	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A3"	62.28	3690	0.1105	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A4"	62.28	3690	0.1132	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A5"	62.28	3690	0.1113	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A6"	62.28	3690	0.1096	"Yi6"	20	"3 Phages"	"Ben, Carl, CCS2"	0.05
"A7"	62.28	3690	0.3146	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"A8"	62.28	3690	0.5592	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"A9"	62.28	3690	0.1377	"Yi6"	20	"3 Phages"	"Ump, CCS2, SDS2"	0.05
"B1"	62.28	3690	0.8876	"Yi6"	20	"Host
Control"	" "	0.05
"B10"	62.28	3690	0.6348	"Yi6"	20	"Host
Control"	" "	0.05
"B11"	62.28	3690	0.6191	"Yi6"	20	"Host
Control"	" "	0.05
"B12"	62.28	3690	0.5104	"Yi6"	20	"Host
Control"	" "	0.05
"B2"	62.28	3690	0.6385	"Yi6"	20	"Host
Control"	" "	0.05
"B3"	62.28	3690	0.6824	"Yi6"	20	"Host
Control"	" "	0.05
"B4"	62.28	3690	0.6556	"Yi6"	20	"Host
Control"	" "	0.05
"B5"	62.28	3690	0.6621	"Yi6"	20	"Host
Control"	" "	0.05
"B6"	62.28	3690	0.6155	"Yi6"	20	"Host
Control"	" "	0.05
"B7"	62.28	3690	0.6414	"Yi6"	20	"Host
Control"	" "	0.05
"B8"	62.28	3690	0.5667	"Yi6"	20	"Host
Control"	" "	0.05
"B9"	62.28	3690	0.6697	"Yi6"	20	"Host
Control"	" "	0.05
"C1"	62.28	3690	0.7068	"Yi6"	20	"2 Phages"	"Carl, CCS2"	0.05
"C10"	62.28	3690	0.4252	"Yi6"	20	"2 Phages"	"Ump, SDS2"	0.05
"C11"	62.28	3690	1.1938	"Yi6"	20	"2 Phages"	"Ump, SDS2"	0.05
"C12"	62.28	3690	0.3095	"Yi6"	20	"2 Phages"	"Ump, SDS2"	0.05
"C2"	62.28	3690	0.5492	"Yi6"	20	"2 Phages"	"Carl, CCS2"	0.05
"C3"	62.28	3690	0.4781	"Yi6"	20	"2 Phages"	"Carl, CCS2"	0.05
