host	cocktail	condition	phage_measured	timepoint	value1	value2	value3
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	CCS2	0h	8.262565	8.379348333	8.6763
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	CCS2	24h	9.104303333	9.02525	9.57022
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	CCS2	48h	9.493281667	9.498671667	9.48438
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	CCS2	72h	9.355836667	9.398956667	9.80998
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	CCS2	0h	8.279633333	8.440435	8.57936
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	CCS2	24h	8.318261667	8.182613333	8.52978
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	CCS2	48h	8.202376667	8.354195	8.53644
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	CCS2	72h	8.099966667	8.494335	8.65188
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Carl	0h	7.550514667	7.702088	7.765178
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Carl	24h	8.128388	7.576092667	8.683959
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Carl	48h	7.96071	9.128772	8.901345
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Carl	72h	7.877344667	7.856503333	9.396502
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Carl	0h	7.451992	7.813873333	7.764249
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Carl	24h	7.699246	7.578934667	7.623041
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Carl	48h	7.6623	7.612091333	7.64255
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Carl	72h	7.595986667	7.779769333	7.71687
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Ben	0h	6.43495	6.52353	7.083927333
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Ben	24h	8.90798	7.50409	9.470378
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Ben	48h	8.02939	10.34689	9.647213333
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	with host	Ben	72h	7.86974	7.79867	10.30993267
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Ben	0h	6.63374	6.68009	7.008731
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Ben	24h	6.56885	6.38345	6.894697
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Ben	48h	6.63683	3.94029	7.1463155
YI6	Yi6-1_Cocktail 1 (Carl+Ben+CCS2)	no host	Ben	72h	6.42259	4.1741	7.228535667
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	CCS2	0h	8.700954667	8.600444	8.52904
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	CCS2	24h	8.713414667	8.540636	8.4617
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	CCS2	48h	9.774176	9.506701333	9.21502
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	CCS2	72h	9.40536	9.438586667	9.38522
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	CCS2	0h	8.493288	8.538144	8.59712
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	CCS2	24h	10.05909467	9.499225333	9.37264
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	CCS2	48h	8.617057333	8.529837333	8.754
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	CCS2	72h	8.429326667	8.513224	8.69184
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	SDS1	0h	9.679666	9.643085333	9.485397
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	SDS1	24h	9.677688667	9.552128	9.458456
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	SDS1	48h	10.57638667	10.39644933	10.1422
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	SDS1	72h	10.204648	10.16806733	10.323355
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	SDS1	0h	9.545207333	9.457216	9.579226
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	SDS1	24h	11.18243933	10.28571867	10.269473
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	SDS1	48h	9.613425333	9.497751333	9.721363
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	SDS1	72h	8.663316667	9.383066	9.634966
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	Carl	0h	7.81736	7.936096	7.728732
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	Carl	24h	7.901344	7.67256	7.612268
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	Carl	48h	7.936096	7.954437333	7.662468
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	with host	Carl	72h	7.747856	7.760405333	7.889372
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	Carl	0h	7.754613333	7.742064	7.81106
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	Carl	24h	7.934165333	7.913893333	7.882344
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	Carl	48h	7.794192	7.696693333	7.915476
YI6	Yi6-1_Cocktail 2 (Carl+SDS1+CCS2)	no host	Carl	72h	7.561546667	7.574096	7.734756
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Ump	0h	10.56671667	11.56171667	12.28806667
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Ump	24h	14.1852	14.60641667	15.46211667
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Ump	48h	15.27306667	14.6031	16.17851667
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Ump	72h	16.05911667	15.23326667	15.22
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Ump	0h	11.70101667	11.27648333	11.94313333
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Ump	24h	11.6778	11.74745	10.245
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Ump	48h	12.34776667	11.59156667	10.62973333
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Ump	72h	10.34276667	11.5385	11.2798
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	SDS1	0h	9.28821667	9.50480833	9.43588
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	SDS1	24h	11.294685	11.25321	11.38319
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	SDS1	48h	11.7739517	11.5149633	11.42197
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	SDS1	72h	11.6854717	11.4006767	11.54108
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	0h	9.56471667	9.49559167	9.44234333
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	24h	9.541675	9.50757333	9.32138667
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	48h	9.21632667	9.62278167	9.23736333
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	72h	9.55181333	9.67808167	9.51898
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	0h	7.478245667	7.702488	7.878328
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	24h	8.010932	8.031317667	8.871284
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	48h	8.440803667	8.298104	9.10622
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	72h	8.344193333	8.292786	9.641352
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	0h	7.881527333	7.632467667	7.877324
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	24h	7.722873667	7.714896667	7.724716
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	48h	7.523448667	7.816825	7.7458
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	72h	7.836324333	7.829233667	7.82612
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	CCS1	0h	11.80268	11.680672	11.28394133
