Reading	Hours	Minutes	Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0.0	0.0		0.1307	0.1409	0.1454	0.1453	0.1482	0.1558	0.1445	0.1427	0.1459	0.1453	0.1606	0.1271	0.1428	0.1463	0.1467	0.1441	0.145	0.1485	0.1281	0.1441	0.1427	0.1388	0.1394	0.1285	0.1588	0.1493	0.147	0.1545	0.1481	0.1467	0.1878	0.1475	0.1485	0.142	0.1358	0.129	0.1561	0.1464	0.1493	0.1481	0.1481	0.1563	0.1323	0.146	0.1451	0.1464	0.1398	0.131	0.1503	0.1519	0.1479	0.1427	0.1512	0.1465	0.1354	0.1423	0.1477	0.1398	0.1417	0.1316	0.1498	0.1497	0.1504	0.1498	0.1457	0.1527	0.1363	0.1453	0.1478	0.1384	0.1257	0.1279	0.1518	0.1566	0.1529	0.1488	0.1526	0.1559	0.1319	0.1435	0.1485	0.1424	0.1425	0.1288	0.1459	0.1548	0.1462	0.1444	0.1481	0.1537	0.1327	0.1407	0.1429	0.1199	0.1238	0.1271
2	0.17	10.333333333333334		0.1338	0.1447	0.1486	0.1494	0.1516	0.1601	0.1445	0.145	0.1483	0.1457	0.1591	0.1274	0.1492	0.1517	0.1511	0.1507	0.1506	0.1548	0.1291	0.147	0.1468	0.1401	0.1419	0.1294	0.1644	0.1554	0.152	0.159	0.1527	0.154	0.2117	0.1509	0.152	0.1425	0.1374	0.1298	0.1612	0.152	0.1543	0.1532	0.1541	0.1617	0.1339	0.1511	0.1491	0.1479	0.1408	0.1312	0.1542	0.157	0.1517	0.1543	0.1563	0.1523	0.1367	0.1468	0.1514	0.1399	0.1428	0.1319	0.1539	0.1534	0.154	0.1553	0.1504	0.1582	0.1381	0.1496	0.1525	0.1401	0.1259	0.1291	0.1576	0.1603	0.1572	0.1539	0.1555	0.159	0.1328	0.1462	0.1514	0.1408	0.1449	0.1288	0.1508	0.1596	0.1502	0.1497	0.1539	0.1575	0.1342	0.1432	0.1452	0.1204	0.1258	0.1278
3	0.34	20.666666666666668		0.1408	0.1544	0.1586	0.1592	0.1608	0.1685	0.1466	0.1504	0.1551	0.1482	0.1662	0.1279	0.1564	0.1616	0.1606	0.1604	0.1586	0.1632	0.1332	0.1529	0.153	0.1403	0.1433	0.1305	0.1725	0.1651	0.1608	0.1679	0.1611	0.1623	0.2499	0.1575	0.1582	0.1429	0.1369	0.1313	0.1682	0.1601	0.1643	0.1627	0.1607	0.1711	0.1385	0.1571	0.1561	0.149	0.1417	0.1325	0.1616	0.1664	0.1613	0.1664	0.164	0.16	0.1419	0.1519	0.1578	0.1416	0.1447	0.1338	0.1608	0.162	0.1639	0.1648	0.1574	0.1671	0.1428	0.1547	0.1589	0.14	0.1263	0.1306	0.1661	0.1679	0.1659	0.1629	0.1628	0.168	0.1376	0.1517	0.1573	0.1424	0.1457	0.1311	0.1576	0.1677	0.1584	0.1584	0.1607	0.1653	0.1389	0.1465	0.1498	0.1201	0.126	0.129
4	0.52	31.0		0.1509	0.1681	0.1696	0.1711	0.1628	0.1797	0.151	0.1575	0.1598	0.1498	0.1666	0.1287	0.1634	0.1721	0.1706	0.17	0.1671	0.1721	0.1389	0.1567	0.1571	0.1393	0.142	0.1317	0.1791	0.1731	0.1705	0.1766	0.1673	0.1705	0.2782	0.1615	0.1622	0.1404	0.134	0.1316	0.1739	0.1674	0.1735	0.1709	0.1673	0.1804	0.1445	0.1607	0.159	0.1476	0.1406	0.1333	0.168	0.175	0.1698	0.1743	0.1707	0.1662	0.1486	0.154	0.1613	0.1384	0.1441	0.1345	0.1679	0.1688	0.1721	0.1739	0.164	0.1748	0.1482	0.1571	0.1613	0.1377	0.1246	0.1312	0.1721	0.1764	0.1746	0.1694	0.1693	0.1756	0.1428	0.1545	0.1588	0.1414	0.1457	0.1318	0.1623	0.1749	0.1656	0.1663	0.1651	0.1707	0.1439	0.1491	0.1529	0.1186	0.1258	0.1298
5	0.69	41.333333333333336		0.1625	0.1871	0.1889	0.1868	0.186	0.1985	0.1612	0.1642	0.1691	0.1554	0.1713	0.1323	0.1757	0.1852	0.1858	0.1846	0.1782	0.184	0.1493	0.1628	0.1627	0.141	0.1424	0.1364	0.1889	0.1876	0.1848	0.1898	0.1786	0.1814	0.2858	0.1683	0.1675	0.1422	0.1366	0.1362	0.183	0.178	0.1875	0.1826	0.1776	0.1944	0.1542	0.1673	0.1652	0.1494	0.1417	0.1377	0.1786	0.1868	0.1827	0.1887	0.1805	0.1754	0.1579	0.1585	0.1673	0.1406	0.146	0.1389	0.1778	0.1797	0.185	0.1866	0.1741	0.1862	0.1575	0.1625	0.1677	0.1389	0.1263	0.1358	0.1831	0.1875	0.1869	0.1784	0.178	0.1866	0.1509	0.1596	0.1649	0.1421	0.1467	0.1359	0.1674	0.184	0.173	0.1772	0.1722	0.177	0.1516	0.1539	0.1566	0.1203	0.1265	0.134
6	0.86	51.666666666666664		0.1765	0.2099	0.2158	0.2107	0.2021	0.2224	0.1714	0.1699	0.1798	0.1562	0.1708	0.1363	0.1875	0.1992	0.2022	0.198	0.1886	0.195	0.158	0.1678	0.1672	0.1413	0.143	0.141	0.1997	0.1999	0.2	0.2042	0.1896	0.1924	0.2815	0.173	0.173	0.1426	0.1368	0.1397	0.192	0.1877	0.2004	0.1949	0.1861	0.2083	0.162	0.1716	0.1695	0.1488	0.1421	0.1415	0.1886	0.1993	0.1958	0.1991	0.1893	0.1828	0.1654	0.1607	0.1717	0.1408	0.1454	0.1432	0.1866	0.1891	0.1966	0.1987	0.1841	0.196	0.1638	0.1661	0.1722	0.1392	0.1262	0.1392	0.1924	0.199	0.1993	0.1849	0.1865	0.1968	0.1567	0.1629	0.1683	0.1418	0.1475	0.1396	0.1702	0.1924	0.178	0.1875	0.1772	0.1813	0.1568	0.1568	0.1589	0.12	0.127	0.1373
7	1.03	62.0		0.1965	0.2404	0.2501	0.2429	0.2286	0.2559	0.1862	0.1807	0.1933	0.1596	0.1773	0.1418	0.1988	0.2155	0.2217	0.2135	0.2007	0.21	0.1678	0.1722	0.1718	0.1423	0.1435	0.1461	0.2113	0.2154	0.2192	0.2211	0.2012	0.2072	0.2802	0.1782	0.1785	0.1434	0.1376	0.1445	0.1989	0.1998	0.2165	0.2077	0.1965	0.2229	0.1703	0.1763	0.1741	0.1503	0.1424	0.1455	0.1993	0.2132	0.2117	0.211	0.1994	0.1911	0.1742	0.1643	0.1764	0.1416	0.1466	0.147	0.1971	0.2009	0.2105	0.2119	0.1937	0.2069	0.1705	0.1699	0.176	0.1401	0.1266	0.1433	0.2033	0.2109	0.213	0.1938	0.1941	0.2067	0.1626	0.1661	0.1718	0.1429	0.1474	0.1439	0.1719	0.2009	0.1823	0.1973	0.1829	0.1854	0.1608	0.1584	0.162	0.12	0.1274	0.1407
8	1.21	72.33333333333333		0.2156	0.2801	0.2893	0.2835	0.2609	0.2933	0.206	0.1986	0.2042	0.1591	0.181	0.1486	0.2078	0.2342	0.2448	0.2328	0.2147	0.2272	0.1799	0.1775	0.1769	0.1433	0.1448	0.1508	0.228	0.2355	0.2419	0.2405	0.2154	0.227	0.2833	0.1829	0.1835	0.1444	0.1386	0.1493	0.2082	0.2105	0.2336	0.2224	0.2067	0.2416	0.1801	0.1809	0.1785	0.1511	0.1428	0.1496	0.2214	0.2335	0.2286	0.2246	0.2106	0.1999	0.184	0.1671	0.1818	0.1424	0.1475	0.1512	0.2081	0.2132	0.2256	0.2262	0.2042	0.2174	0.1773	0.1733	0.1804	0.1411	0.1266	0.1468	0.2229	0.2237	0.2285	0.2024	0.2016	0.2171	0.1679	0.1687	0.1747	0.1438	0.1483	0.1471	0.1755	0.2093	0.1874	0.2073	0.1886	0.1912	0.1642	0.1601	0.1641	0.1204	0.1262	0.1444
9	1.38	82.66666666666667		0.2434	0.3228	0.3512	0.3327	0.3031	0.3462	0.2327	0.2072	0.2187	0.1644	0.1848	0.1562	0.218	0.2591	0.2698	0.2523	0.2269	0.2567	0.1935	0.1827	0.182	0.1443	0.146	0.1574	0.2278	0.2577	0.2654	0.2572	0.2398	0.2523	0.2893	0.1889	0.1888	0.1464	0.1398	0.1545	0.2195	0.2177	0.2491	0.2344	0.2129	0.2671	0.1908	0.1866	0.1828	0.1517	0.1434	0.1538	0.2254	0.236	0.2446	0.2396	0.2229	0.2061	0.1955	0.1697	0.1877	0.1435	0.1489	0.156	0.2183	0.2237	0.2391	0.2396	0.2103	0.2302	0.183	0.1779	0.1854	0.1415	0.1267	0.1506	0.2437	0.2351	0.242	0.2114	0.2057	0.2229	0.1739	0.1726	0.1791	0.1447	0.1499	0.1527	0.1849	0.2144	0.1918	0.216	0.1971	0.1968	0.1665	0.1615	0.1674	0.1207	0.126	0.1467
10	1.55	93.0		0.2739	0.3673	0.4005	0.3829	0.3332	0.3809	0.267	0.2081	0.2318	0.1658	0.1891	0.1667	0.2841	0.2648	0.306	0.2712	0.2632	0.2429	0.2124	0.1883	0.1868	0.1454	0.1465	0.1664	0.2837	0.2646	0.2856	0.3029	0.2528	0.2843	0.3009	0.1955	0.1949	0.1482	0.1412	0.1599	0.2545	0.2226	0.264	0.2382	0.2274	0.265	0.2024	0.1926	0.1875	0.1541	0.1449	0.1576	0.2377	0.2446	0.2649	0.244	0.234	0.2193	0.2094	0.1727	0.1939	0.1449	0.1505	0.1608	0.2432	0.2283	0.2539	0.2483	0.2251	0.2358	0.1892	0.1833	0.1911	0.1425	0.1274	0.1536	0.2573	0.2615	0.2549	0.219	0.2153	0.2306	0.1801	0.1761	0.1828	0.1465	0.1514	0.1554	0.2547	0.2297	0.1992	0.2292	0.206	0.2058	0.1682	0.1635	0.1696	0.1207	0.1251	0.1476
11	1.72	103.33333333333334		0.3029	0.4089	0.4473	0.4096	0.3738	0.4294	0.3082	0.2365	0.2432	0.1672	0.192	0.1752	0.2851	0.296	0.3266	0.294	0.2422	0.3586	0.2451	0.193	0.191	0.1469	0.1479	0.1772	0.2728	0.3119	0.3202	0.276	0.2527	0.2558	0.3281	0.2093	0.2032	0.1501	0.1417	0.1663	0.2341	0.2437	0.2797	0.2688	0.2328	0.2803	0.2149	0.1997	0.1907	0.1559	0.1451	0.1626	0.2515	0.2646	0.2637	0.2726	0.261	0.2297	0.226	0.1762	0.207	0.1468	0.1527	0.1646	0.2554	0.2627	0.268	0.2633	0.2405	0.2449	0.1942	0.1901	0.1997	0.1434	0.128	0.1565	0.2914	0.259	0.2655	0.2347	0.2295	0.2457	0.1849	0.1798	0.1864	0.1477	0.1535	0.1578	0.1996	0.2382	0.2049	0.2483	0.2166	0.236	0.1691	0.1679	0.1738	0.1201	0.1248	0.1415
