"well"	"Hours"	"Minutes"	"value"	"Strain"	"volume"	"condition"	"Phages"	"bacteria"
"A1"	69.5	4170	0.136	"Yi6"	"10"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A10"	69.5	4170	0.112	"Yi6"	"25"	"3 Phages"	"Ben, CCS2, Ump"	0.15
"A12"	69.5	4170	0.121	"Yi6"	"50"	"3 Phages"	"Ben, CCS2, Ump"	0.15
"A2"	69.5	4170	0.099	"Yi6"	"10"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A3"	69.5	4170	0.105	"Yi6"	"25"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A4"	69.5	4170	0.109	"Yi6"	"25"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A5"	69.5	4170	0.111	"Yi6"	"50"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A6"	69.5	4170	0.11	"Yi6"	"50"	"3 Phages"	"Ben, CCS2, Ump"	0.05
"A7"	69.5	4170	0.109	"Yi6"	"10"	"3 Phages"	"Ben, CCS2, Ump"	0.15
"A8"	69.5	4170	0.124	"Yi6"	"10"	"3 Phages"	"Ben, CCS2, Ump"	0.15
"A9"	69.5	4170	0.116	"Yi6"	"25"	"3 Phages"	"Ben, CCS2, Ump"	0.15
"B1"	69.5	4170	0.382	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B10"	69.5	4170	0.769	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"B11"	69.5	4170	0.714	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"B12"	69.5	4170	0.906	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"B2"	69.5	4170	0.841	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B3"	69.5	4170	0.724	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B4"	69.5	4170	0.799	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B5"	69.5	4170	0.784	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B6"	69.5	4170	0.844	"Yi6"	NA	"Host
Control"	"Host Control"	0.05
"B7"	69.5	4170	0.591	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"B8"	69.5	4170	0.799	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"B9"	69.5	4170	0.801	"Yi6"	NA	"Host
Control"	"Host Control"	0.15
"C1"	69.5	4170	0.576	"Yi6"	"10"	"2 Phages"	"CCS2, Ump"	0.05
"C10"	69.5	4170	0.697	"Yi6"	"25"	"2 Phages"	"CCS2, Ump"	0.15
"C11"	69.5	4170	0.715	"Yi6"	"50"	"2 Phages"	"CCS2, Ump"	0.15
"C12"	69.5	4170	0.75	"Yi6"	"50"	"2 Phages"	"CCS2, Ump"	0.15
"C2"	69.5	4170	0.529	"Yi6"	"10"	"2 Phages"	"CCS2, Ump"	0.05
"C3"	69.5	4170	0.557	"Yi6"	"25"	"2 Phages"	"CCS2, Ump"	0.05
"C4"	69.5	4170	0.61	"Yi6"	"25"	"2 Phages"	"CCS2, Ump"	0.05
"C5"	69.5	4170	0.258	"Yi6"	"50"	"2 Phages"	"CCS2, Ump"	0.05
"C6"	69.5	4170	0.235	"Yi6"	"50"	"2 Phages"	"CCS2, Ump"	0.05
"C7"	69.5	4170	0.64	"Yi6"	"10"	"2 Phages"	"CCS2, Ump"	0.15
"C8"	69.5	4170	0.677	"Yi6"	"10"	"2 Phages"	"CCS2, Ump"	0.15
"C9"	69.5	4170	0.647	"Yi6"	"25"	"2 Phages"	"CCS2, Ump"	0.15
"D1"	69.5	4170	0.165	"Yi6"	"10"	"2 Phages"	"Ben, CCS2"	0.05
"D10"	69.5	4170	0.111	"Yi6"	"25"	"2 Phages"	"Ben, CCS2"	0.15
"D11"	69.5	4170	0.117	"Yi6"	"50"	"2 Phages"	"Ben, CCS2"	0.15
"D12"	69.5	4170	0.126	"Yi6"	"50"	"2 Phages"	"Ben, CCS2"	0.15
"D2"	69.5	4170	0.116	"Yi6"	"10"	"2 Phages"	"Ben, CCS2"	0.05
"D3"	69.5	4170	0.119	"Yi6"	"25"	"2 Phages"	"Ben, CCS2"	0.05
